Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
JPN,71573819,69261578,65860734,61019362,57174410,54363643,51978837,49803123,47300230,44612566,41862987,39056905,36585530,34374482,32153331,29985498
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,7834977,8784695,9558612,10159349,10619811,10921021,11037435,11004146,10845589,10550892,10029684,9390181,8735180,8125324,7528480,6939010
KAZ,12103176,12512571,13040907,13457563,13591180,13525705,13263834,13088248,13020034,12818305,12300100,11587778,10818381,10109177,9514262,8966673
KEN,34564591,39263042,43765825,47828683,51327462,54183269,56097792,57412923,57935670,57252292,55414233,53068766,50241750,47230280,44137439,41013961
KIR,81592,88668,95201,100432,103460,103737,102160,100294,98039,95918,91787,85575,78881,73236,68590,64775
KWT,3613864,3831835,3906625,3815481,3667281,3511035,3449855,3468751,3431952,3341921,3189627,2982358,2775315,2591826,2417727,2241291
KGZ,4150612,4489446,4864808,5131255,5291335,5349817,5290769,5204612,5135185,5049174,4865343,4559625,4220810,3929548,3681713,3452294
LAO,5047042,5379732,5700425,5901464,5966076,5902518,5718034,5472841,5184200,4879622,4548100,4196160,3815121,3479005,3188505,2925477
LVA,1114114,1017659,955537,887786,826585,765389,709811,671914,651209,625316,589175,547688,503429,467215,435795,405660
LBN,3856117,4140699,4303093,4394633,4456208,4464547,4442680,4395602,4272801,4085371,3840545,3547582,3291300,3079641,2875677,2675901
LSO,1440769,1523522,1615926,1688966,1722112,1722455,1685367,1632363,1575515,1511417,1436202,1344020,1241036,1144067,1059007,981221
LBR,3274018,3819230,4354558,4843555,5271784,5651236,5963571,6210112,6343752,6347098,6213501,5992861,5702716,5381647,5037806,4685601
LBY,4766364,5134914,5385519,5506420,5534349,5537891,5541741,5524231,5422533,5225965,4943889,4628249,4319980,4041586,3781645,3526854
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,1666667,1492256,1363344,1234006,1128621,1032206,936661,858557,809617,770479,724846,670487,615296,573347,536689,503504
LUX,456384,468974,479478,488135,494602,496733,497159,497664,499976,497645,485766,465389,440938,418894,397456,375735
MDG,18334330,20980212,23806555,26290958,28400712,30207808,31583460,32518624,32914239,32784922,32026612,30776912,28987694,27097163,25213802,23315366
MWI,12208161,14379836,16573391,18685265,20535897,22169443,23546795,24678374,25437363,25712979,25483095,24938159,24134586,23109791,21944116,20617359
MYS,24637582,26116703,27480331,28314733,28755464,28604899,28016246,27323545,26534848,25550022,24354488,22927447,21309824,19951065,18645021,17363982
MDV,411464,446798,478342,498433,503661,488701,457901,432949,418426,407689,386563,355330,320832,290499,264303,239750
MLI,12438617,14841747,17530977,20087302,22438521,24590346,26474432,28152049,29521382,30424029,30778790,30656167,30055183,29233758,28253847,27049515
MLT,342524,340750,344147,341120,331695,316178,295821,276803,267927,262986,253383,238610,220661,204884,190213,176633
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,216956,198900,182567,170274,165328,163052,160414,155966,148989,141684,135156,129685,124658,120347,115739,111017
MRT,2821352,3278552,3733247,4130114,4465209,4740199,4942767,5090410,5173184,5175377,5074168,4896291,4670797,4437614,4197587,3951832
MUS,905055,869650,835143,804665,760300,715431,671876,618529,570617,522250,478904,440734,404012,369855,338163,309117
MYT,190516,225611,265919,305757,344900,383678,421697,461872,507985,550538,587681,624589,659490,697095,737673,780520
MEX,87419044,90892795,92906317,93485553,92762794,90971320,88076004,84339475,80058724,75263781,70067365,64562399,59303377,54483374,50143019,46225176
FSM,402228,406986,409081,408029,403560,393187,377039,358025,339414,322333,302821,280775,258976,240700,225206,212015
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,2193625,2365859,2540583,2633832,2678755,2696204,2672547,2678527,2715653,2746728,2707040,2570855,2406204,2280034,2171537,2063652
MNE,418262,406619,399034,390755,377991,362023,347511,334508,322449,309712,294688,277065,258639,242321,228420,215605
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,25095328,26241020,27150310,27517922,27320017,26657583,25648850,24502489,23344014,22087042,20604103,18857033,17089063,15538282,14197507,13004434
MOZ,19271908,22722777,26505278,29851601,32740083,35330913,37393914,39018672,40065509,40446672,40112233,38965780,37162782,35270373,33379585,31337423
MMR,37570985,38379314,38963282,38837645,38046888,36617880,34823106,32862303,30853259,28697645,26518154,24274931,21876488,19799497,18043246,16545934
NAM,1613557,1800029,1995331,2161209,2284215,2375865,2420024,2416583,2404607,2373270,2302578,2183961,2033515,1889429,1761712,1643034
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,19579655,20538523,21376790,21976772,22095291,21740489,20969800,19775457,18322358,16812300,15447383,14144799,12843854,11629464,10635767,9840149
NLD,11219095,11001882,10765173,10611023,10621711,10594200,10483347,10313806,10136530,9893775,9619977,9296528,8956533,8645757,8323621,7991502
NCL,200692,208964,214203,216120,217624,217035,215293,214174,212912,208305,201764,192740,183361,175155,167503,159838
NZL,3374077,3440386,3499019,3526560,3575749,3598170,3586422,3557110,3532799,3476737,3371124,3229839,3081338,2955305,2831790,2705627
NIC,4630343,4919897,5166071,5287770,5281090,5173098,4961889,4678228,4383359,4096365,3798332,3476908,3142374,2849704,2604859,2393092
NER,14071146,17088916,20767028,24622434,28443722,32321246,36175969,39985757,43526479,46569532,48932743,50571313,51332898,51590304,51405514,50722931
NGA,127105306,146705521,168279813,188966654,208926564,228666800,248049522,267155805,284471973,297987411,306983246,311958449,312974228,312032162,308577378,302000049
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MKD,1425193,1395302,1364197,1331577,1287331,1230091,1169548,1113805,1065606,1019706,973571,915949,855969,799388,746213,695915
MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOR,3618106,3703544,3738804,3741658,3781365,3813157,3825046,3831587,3839360,3806778,3720797,3609631,3501419,3423862,3334673,3228986
OMN,3591911,3922821,4257826,4471765,4513119,4368938,4087459,3873283,3842923,3830226,3717854,3492567,3204379,2943766,2722710,2525354
PAK,147430627,164292597,180568654,196177484,209943046,220667539,227673275,231870970,233733256,232441840,228578959,221639839,213132944,203117724,192176509,180900460
PLW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAN,2958786,3140462,3293864,3399720,3459838,3473268,3437100,3373742,3271901,3135002,2960683,2749238,2521296,2305085,2107235,1920108
PNG,6842375,7726246,8615289,9364578,9965823,10424768,10722536,10893988,10905594,10718534,10334720,9766426,9068699,8394334,7745189,7100443
PRY,4513973,4767869,5023812,5213335,5305152,5264934,5120257,4914365,4688853,4453273,4188974,3892339,3555594,3245019,2967280,2723696
PER,22599548,23580331,24276567,24518181,24337901,23764577,22781377,21638954,20463664,19233933,17798962,16338720,14885609,13557846,12411848,11422641
PHL,77347939,83353658,88855841,93078789,95937208,97472439,97437064,96019427,93605011,90206111,85605475,80366274,74604806,69064294,63828110,58843407
POL,25286732,24460407,23877470,22844890,21366125,19713905,18366660,17421767,16904016,16419305,15593197,14688903,13765690,13072337,12516045,12002122
PRT,6427229,6157902,5922904,5642104,5374145,5200864,5102123,5025981,4944205,4834465,4684409,4496353,4277199,4082178,3893177,3695242
PRI,1890745,1699778,1542342,1392431,1266576,1167441,1088001,1018348,965193,916891,865868,810988,756497,711117,667276,623138
QAT,2743923,3120823,3454888,3677784,3777103,3741215,3622616,3540988,3520955,3489639,3354099,3139926,2893248,2673410,2462339,2246115
KOR,35701829,33585605,31134797,28195814,25917814,23590282,21817164,19793050,18058770,16776663,15564264,14206281,13132567,12444014,11708389,10967311
MDA,1940974,1813500,1745532,1652285,1529324,1389329,1244125,1139171,1074082,1016523,947455,866897,785454,722917,675248,633243
REU,628976,636851,638664,646762,652546,656171,659064,658562,650567,632534,612226,589063,565720,541077,520808,502554
ROU,12005900,11501437,10774066,10037768,9166642,8451181,7713220,7230508,6838703,6450482,6011379,5569718,5095470,4693042,4398496,4144532
RUS,96398343,95849069,96871257,95627128,93255508,89828213,86188912,85308870,85875571,85112766,82452915,77928552,73378243,70208603,67523045,64667115
RWA,8592243,9752526,11021403,12189608,13142723,13795716,14225675,14553967,14747689,14691004,14410659,13975122,13336237,12621845,11895806,11184671
BLM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KNA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LCA,130238,128084,125289,121943,117754,112158,105425,97854,90972,85013,79027,73209,66978,61358,56267,51565
MAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VCT,65703,62159,58706,54796,50378,46004,42283,38787,35964,33590,31157,28606,26234,24297,22633,21083
WSM,124068,128046,131239,130830,127633,123124,117532,111068,105811,100615,94545,87611,80667,74892,70153,66198
SMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STP,135066,149852,163167,173091,178946,181570,182329,181381,178136,171172,161412,150271,138566,127583,117739,108911
SAU,28560779,30821352,32385717,33026682,32653673,32106138,31645677,31000789,30386656,29471064,28119181,26337799,24402120,22574664,20899746,19304002
SEN,10314406,11957243,13658732,15138615,16345542,17349843,18136899,18792597,19261283,19426038,19252540,18767518,18059887,17337762,16601179,15793400
SRB,4652198,4542968,4451508,4335587,4183332,4042204,3904902,3799358,3716673,3601990,3475017,3290242,3081400,2889752,2709437,2533702
SYC,74455,76117,78197,78905,78140,77020,75340,73349,71516,69425,66062,61786,56926,52609,48609,44721
SLE,5307155,6014939,6719716,7351030,7852856,8229124,8471086,8599833,8605739,8479345,8230467,7873552,7429873,6951253,6488024,6038364
SGP,4400722,4351642,4379792,4358509,4339221,4303458,4262237,4203426,4120351,4046240,3896336,3672241,3384165,3119246,2855477,2587094
SXM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SVK,3616614,3525370,3466110,3347116,3162997,2980983,2812127,2681833,2611625,2548964,2448916,2318370,2171223,2043939,1935784,1839965
SVN,1343614,1320070,1293991,1262675,1217198,1175242,1144608,1130291,1116904,1096986,1055546,998776,941191,893167,849353,804851
SLB,441952,501672,562936,615624,657938,690959,715243,731521,737875,733989,717998,688977,649235,607964,567489,527813
SOM,9532830,11242622,13265474,15242256,17076504,18806852,20410896,21969287,23309585,24365865,25054198,25371301,25300802,25071410,24709313,24142268
ZAF,40598141,43246663,45371390,47100931,48279599,48075247,46723455,45256449,43933052,42518171,40150019,37315912,34251966,31510169,28980175,26644192
SSD,5840252,6374103,6621521,6547329,6403910,6252651,6097475,5903980,5669348,5355269,5031003,4671879,4359655,4113820,3882038,3659289
ESP,31842551,31945533,31606215,30761607,29847606,29507140,29657653,29985372,30261888,29948928,28979814,27772088,26598335,25754891,24912963,23958638
LKA,14542942,14702074,14726949,14528857,14097935,13501946,12976190,12351753,11667662,10848634,9926561,9022714,8196510,7502248,6894079,6337023
PSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDN,27878155,32050256,36809514,41244772,45057104,48122550,50571561,52714227,54516440,55795238,56305640,55922599,54634497,53030791,51317006,49436645
SUR,418057,431562,443196,450794,455250,450904,442215,431353,416359,397604,375868,351709,326060,302211,280403,260224
SWE,6665611,6868241,7017150,7124054,7260886,7365359,7409968,7434549,7539032,7546287,7417182,7201740,6964768,6785118,6604492,6405469
CHE,5851217,5892587,5940194,6023189,6124924,6184196,6229537,6290454,6357906,6362686,6270211,6095292,5880414,5693921,5512349,5326528
SYR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,6220524,6869301,7549019,8114548,8516923,8768743,8841556,8852506,8796678,8647644,8368436,7912985,7381510,6870974,6405033,5944227
THA,49186914,47795274,46041952,44264831,42480211,40332378,38149612,35872899,33466690,31385884,29127638,26695373,24459486,22438181,20568985,18813634
TLS,848286,930993,1005850,1064803,1114639,1143205,1143597,1123404,1084328,1027953,965515,902264,835489,773353,713887,658564
TGO,5398347,6162341,6962369,7672803,8272865,8763679,9135695,9420723,9592218,9613222,9452173,9138110,8682167,8191111,7673828,7147955
TKL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
