SSP2,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
FIN,1345335,1446001,1515328,1530123,1566856,1622251,1679875,1754384,1803206,1846608,1903625,1956952,1963998,1945199,1939926,1947303
FRA,14675801,16045168,17311836,18527795,19192844,19872917,20378909,20647377,21022540,21704319,22552602,23463075,24154785,24775679,25427674,26115693
GUF,21319,28288,36502,45736,54662,63304,71468,79591,91165,104685,118661,132541,149588,166839,182985,197984
PYF,99398,127385,156224,181310,200705,223269,242578,257664,266844,279002,292523,306063,315441,321598,328476,336068
GAB,101036,122405,150473,187524,235247,294336,358626,417953,466646,518320,585914,676402,769100,846266,910792,965045
GMB,73043,95518,125492,159480,196495,237541,284485,339708,405560,487607,590600,707609,820511,903998,986341,1071158
GEO,560082,616769,640477,659309,676419,698836,727262,735222,715096,689249,680995,695216,718046,729873,735564,744477
DEU,19569107,21817890,23882020,24629799,25077609,25798427,26605656,27056368,27338985,27429399,27625461,27996448,28522587,28820614,29091751,29352893
GHA,1344727,1690518,2007221,2413371,3025522,3791105,4545964,5245996,5928293,6831179,7924542,9258726,10603722,11824367,13029322,14241759
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRC,2441880,2603774,2825691,3038760,3237708,3383926,3402829,3380244,3372260,3370400,3386104,3408699,3422681,3417488,3419222,3421214
GRD,13701,16195,17979,19440,20876,23791,27983,31011,32962,34199,35577,37162,38622,39758,40548,41237
GLP,84457,97440,108040,114361,113209,107702,101100,99601,102601,106696,110839,115571,120019,126494,131939,135486
GUM,22333,26890,30874,33607,34666,35230,36121,37687,39822,42190,45159,49060,52344,55187,57915,60526
GTM,935584,1114376,1332814,1614662,2000216,2497301,3087763,3769390,4500227,5218954,5833654,6392969,6887451,7293383,7655709,7948578
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,489023,573605,669662,771099,888133,1059587,1316822,1652531,2017977,2371993,2757383,3187673,3665156,4151152,4626383,5084510
GNB,64274,75203,88397,110516,140405,176845,212862,246324,285371,332514,388890,450010,505248,554234,597161,636536
GUY,55841,67767,79234,89593,98755,105139,113067,127001,140689,150454,159260,168449,177346,185344,191105,196064
HTI,570554,668313,775934,895211,1058636,1272414,1526816,1780513,2018926,2248427,2463839,2685962,2910981,3116314,3306608,3469269
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HND,500985,629957,790279,1012002,1310010,1660077,2034963,2446476,2886939,3317584,3681171,3973953,4235462,4467730,4658327,4811524
HUN,2014935,2031986,2110072,2248557,2455815,2515168,2562745,2626642,2614081,2564153,2543713,2521633,2538636,2557200,2551828,2538672
ISL,62332,72561,81600,90126,98310,107420,116976,128806,136302,140845,146351,151128,153694,156029,158453,161264
IND,107005773,129370049,152571463,177825458,204802988,235810188,269672143,303318665,336192384,367627103,392073319,410545647,421985524,426089134,428193561,428678029
IDN,20752669,25763595,31591305,37726685,44006233,50256063,55243585,59751564,64444429,68815033,74025385,79403841,83357965,86092791,87937693,88980420
IRN,7668548,9634240,11866300,14454272,17714309,22337308,26951505,29895876,30779010,31155949,31848822,33240374,34803763,35187079,35654019,36084658
IRQ,1611595,2075416,2789211,3684531,4677515,5782709,7058386,8679552,10521311,12539241,14791266,17594824,20130634,22575834,24935117,27244181
IRL,824341,954152,1088544,1244862,1413185,1567767,1656991,1710880,1772382,1845518,1939294,2041517,2128215,2190979,2251749,2311799
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,1175633,1347937,1530932,1776318,2043596,2316981,2586230,2839265,3100975,3376224,3673116,4028719,4424331,4762279,5080710,5396295
ITA,14758854,16243326,17953464,19458300,20364404,20651786,20619929,20403430,20057520,19807324,19803342,19922975,19941988,19802800,19679764,19562439
JAM,235773,296843,361702,419724,475253,547910,628247,706733,769374,798666,816668,818374,808288,795543,785888,780552
JPN,37255703,37686542,38613770,40605448,41630825,41729247,41546983,41090674,40542225,39674443,38572915,37591999,36594738,35707249,34967801,34181827
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,513556,729283,1017527,1350728,1703258,2090289,2516765,2982142,3418947,3834167,4324931,4814040,5214788,5556868,5870034,6162877
