SSP4,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
ETH,76010138,86869530,98617256,111872053,126476293,142187161,158218101,173837077,189422806,205129032,221355217,236890342,250978259,262161084,271189169,279154981
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,616631,632911,648051,661462,668750,670561,672685,670739,670728,672266,671853,671767,672668,675157,678432,682333
FIN,3391758,3338404,3259525,3185196,3081256,2959981,2845028,2728299,2646940,2551382,2421181,2279093,2174409,2100800,2019933,1929119
FRA,39596246,39364756,38848671,38037645,37516687,36847959,36281837,35959362,35421572,34382149,33061186,31643010,30417817,29308725,28169620,26917422
GUF,198567,216832,237997,261313,286453,312889,340280,366319,389433,410956,432888,453539,469080,481535,492754,503338
PYF,681111,702314,712190,715743,719627,714669,707409,698840,693573,681711,665908,649084,636080,626795,617930,609869
GAB,1519615,1713210,1903369,2076146,2234723,2385210,2535079,2683935,2831708,2968131,3076634,3146575,3196192,3242620,3284631,3316335
GMB,1605857,1876705,2144325,2393471,2668878,2969477,3276214,3568031,3837879,4080490,4288534,4473776,4646380,4804063,4915969,4998419
GEO,2294002,2178726,2107948,1996262,1851836,1695176,1538989,1414493,1330446,1256736,1167739,1062506,960797,888395,835475,787403
DEU,52300507,49607719,47511094,46522093,45607951,44028977,41997369,40264071,38784273,37635670,36374016,34733477,32644913,30702183,28817737,27014773
GHA,21133528,23794029,26498809,29239390,32038149,34970273,38248004,41690699,45255255,48599111,51882529,54859281,57767752,60387304,62504485,64237530
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRC,6561618,6364994,6071598,5727663,5378956,5077443,4895817,4755818,4589231,4387766,4149246,3904796,3680465,3494829,3307130,3102155
GRD,82784,84077,85967,87789,88668,87531,85417,84684,85185,86231,86769,86915,87334,88125,89416,90930
GLP,239629,229358,218289,213116,213312,215512,216914,212333,203646,194981,187690,181003,175120,167180,159498,152414
GUM,106603,108407,108676,110151,113776,118176,122093,124801,126740,128424,130099,131467,133758,136133,137942,139439
GTM,11799165,13025908,14162223,15242805,16265520,17145205,17871326,18327996,18612586,18806202,19063323,19330890,19608374,19828642,19950317,20051426
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,8169243,9350587,10614790,11989925,13437245,14893960,16318564,17635622,18889954,20130414,21326576,22411807,23383115,24157875,24775257,25227030
GNB,1284489,1465109,1637698,1802598,1959371,2111063,2262303,2400240,2516746,2611270,2687963,2742574,2782826,2802153,2807664,2802813
GUY,523363,530173,535024,542417,547327,551958,551241,539013,527599,522268,520336,518565,517131,514804,513858,514526
HTI,7713780,8354289,8958973,9551082,10118787,10619575,11040271,11385687,11657839,11845340,12010157,12166251,12327682,12461356,12536807,12574989
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
