"Land Use, Cropland (1,000ha)",2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
CHL,12614.9,12563.78333,12512.66667,12461.55,12410.43333,12359.31667,12308.2,12273.61667,12239.03333,12204.45,12169.86667,12135.28333,12100.7,12100.7,12100.7,12100.7
CHN,340348.7,344483.9,348619.1,352754.3,356889.5,361024.7,365159.9,371255.7333,377351.5667,383447.4,389543.2333,395639.0667,401734.9,401734.9,401734.9,401734.9
HKG,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9
MAC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COL,44542.1,44565.61667,44589.13333,44612.65,44636.16667,44659.68333,44683.2,44713.91667,44744.63333,44775.35,44806.06667,44836.78333,44867.5,44867.5,44867.5,44867.5
COM,101.7,102.1,102.5,102.9,103.3,103.7,104.1,103.9666667,103.8333333,103.7,103.5666667,103.4333333,103.3,103.3,103.3,103.3
COG,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1
COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,2250.7,2251.133333,2251.566667,2252,2252.433333,2252.866667,2253.3,2253.533333,2253.766667,2254,2254.233333,2254.466667,2254.7,2254.7,2254.7,2254.7
CIV,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583
HRV,3215.6,3218.416667,3221.233333,3224.05,3226.866667,3229.683333,3232.5,3234.15,3235.8,3237.45,3239.1,3240.75,3242.4,3242.4,3242.4,3242.4
CUB,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4
CUW,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8
CYP,389,389,389,389,389,389,389,387.9166667,386.8333333,385.75,384.6666667,383.5833333,382.5,382.5,382.5,382.5
CZE,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8
PRK,6118.1,6122.6,6127.1,6131.6,6136.1,6140.6,6145.1,6148.65,6152.2,6155.75,6159.3,6162.85,6166.4,6166.4,6166.4,6166.4
COD,58746.6,58747.21667,58747.83333,58748.45,58749.06667,58749.68333,58750.3,58751.81667,58753.33333,58754.85,58756.36667,58757.88333,58759.4,58759.4,58759.4,58759.4
DNK,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3
DJI,394.1,432.7833333,471.4666667,510.15,548.8333333,587.5166667,626.2,744.65,863.1,981.55,1100,1218.45,1336.9,1336.9,1336.9,1336.9
DMA,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
DOM,2361.4,2361.316667,2361.233333,2361.15,2361.066667,2360.983333,2360.9,2359.883333,2358.866667,2357.85,2356.833333,2355.816667,2354.8,2354.8,2354.8,2354.8
ECU,10486.2,10495.78333,10505.36667,10514.95,10524.53333,10534.11667,10543.7,10557.9,10572.1,10586.3,10600.5,10614.7,10628.9,10628.9,10628.9,10628.9
EGY,3258.8,3258.633333,3258.466667,3258.3,3258.133333,3257.966667,3257.8,3257.783333,3257.766667,3257.75,3257.733333,3257.716667,3257.7,3257.7,3257.7,3257.7
SLV,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.083333,1680.966667,1680.85,1680.733333,1680.616667,1680.5,1680.5,1680.5,1680.5
GNQ,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9
ERI,7306.1,7362.766667,7419.433333,7476.1,7532.766667,7589.433333,7646.1,7696.85,7747.6,7798.35,7849.1,7899.85,7950.6,7950.6,7950.6,7950.6
EST,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1
SWZ,1085.2,1085.216667,1085.233333,1085.25,1085.266667,1085.283333,1085.3,1085.3,1085.3,1085.3,1085.3,1085.3,1085.3,1085.3,1085.3,1085.3
ETH,88356.8,88503.41667,88650.03333,88796.65,88943.26667,89089.88333,89236.5,89609.78333,89983.06667,90356.35,90729.63333,91102.91667,91476.2,91476.2,91476.2,91476.2
FLK,901,902.1,903.2,904.3,905.4,906.5,907.6,908.3833333,909.1666667,909.95,910.7333333,911.5166667,912.3,912.3,912.3,912.3
FRO,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3
FJI,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1
FIN,4235.5,4312.283333,4389.066667,4465.85,4542.633333,4619.416667,4696.2,4696.95,4697.7,4698.45,4699.2,4699.95,4700.7,4700.7,4700.7,4700.7
FRA,34715,34715.63333,34716.26667,34716.9,34717.53333,34718.16667,34718.8,34718.93333,34719.06667,34719.2,34719.33333,34719.46667,34719.6,34719.6,34719.6,34719.6
GUF,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8
PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5
GMB,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6
GEO,2615.9,2616.316667,2616.733333,2617.15,2617.566667,2617.983333,2618.4,2617.2,2616,2614.8,2613.6,2612.4,2611.2,2611.2,2611.2,2611.2
DEU,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6,22102.6
GHA,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,6809.2,6809.866667,6810.533333,6811.2,6811.866667,6812.533333,6813.2,6809.7,6806.2,6802.7,6799.2,6795.7,6792.2,6792.2,6792.2,6792.2
GRD,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
GLP,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,6795,6796.083333,6797.166667,6798.25,6799.333333,6800.416667,6801.5,6794.7,6787.9,6781.1,6774.3,6767.5,6760.7,6760.7,6760.7,6760.7
GGY,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
GIN,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9,17795.9
GNB,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811
GUY,3115.9,3115.916667,3115.933333,3115.95,3115.966667,3115.983333,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116
HTI,2188.5,2188.716667,2188.933333,2189.15,2189.366667,2189.583333,2189.8,2189.683333,2189.566667,2189.45,2189.333333,2189.216667,2189.1,2189.1,2189.1,2189.1
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,6054.3,6054.45,6054.6,6054.75,6054.9,6055.05,6055.2,6036.933333,6018.666667,6000.4,5982.133333,5963.866667,5945.6,5945.6,5945.6,5945.6
HUN,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4,6935.4
ISL,4782.8,4859.183333,4935.566667,5011.95,5088.333333,5164.716667,5241.1,5294.866667,5348.633333,5402.4,5456.166667,5509.933333,5563.7,5563.7,5563.7,5563.7
IND,220739.1,220729.4667,220719.8333,220710.2,220700.5667,220690.9333,220681.3,220693.45,220705.6,220717.75,220729.9,220742.05,220754.2,220754.2,220754.2,220754.2
IDN,78823.2,78837.76667,78852.33333,78866.9,78881.46667,78896.03333,78910.6,78925.26667,78939.93333,78954.6,78969.26667,78983.93333,78998.6,78998.6,78998.6,78998.6
IRN,49220.3,49680.61667,50140.93333,50601.25,51061.56667,51521.88333,51982.2,50549.81667,49117.43333,47685.05,46252.66667,44820.28333,43387.9,43387.9,43387.9,43387.9
IRQ,13962.6,13521.5,13080.4,12639.3,12198.2,11757.1,11316,11042.8,10769.6,10496.4,10223.2,9950,9676.8,9676.8,9676.8,9676.8
IRL,4992.3,4992.3,4992.3,4992.3,4992.3,4992.3,4992.3,4992.366667,4992.433333,4992.5,4992.566667,4992.633333,4992.7,4992.7,4992.7,4992.7
IMN,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8
ISR,881,858.9666667,836.9333333,814.9,792.8666667,770.8333333,748.8,741.1,733.4,725.7,718,710.3,702.6,702.6,702.6,702.6
ITA,16388.5,16389.48333,16390.46667,16391.45,16392.43333,16393.41667,16394.4,16391.78333,16389.16667,16386.55,16383.93333,16381.31667,16378.7,16378.7,16378.7,16378.7
JAM,710.6,710.6166667,710.6333333,710.65,710.6666667,710.6833333,710.7,710.7,710.7,710.7,710.7,710.7,710.7,710.7,710.7,710.7
JPN,8701,8702.2,8703.4,8704.6,8705.8,8707,8708.2,8709.9,8711.6,8713.3,8715,8716.7,8718.4,8718.4,8718.4,8718.4
JEY,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
JOR,916.6,878.9833333,841.3666667,803.75,766.1333333,728.5166667,690.9,676,661.1,646.2,631.3,616.4,601.5,601.5,601.5,601.5
KAZ,92100.5,92186.56667,92272.63333,92358.7,92444.76667,92530.83333,92616.9,93400.66667,94184.43333,94968.2,95751.96667,96535.73333,97319.5,97319.5,97319.5,97319.5
KEN,40836.1,40961.86667,41087.63333,41213.4,41339.16667,41464.93333,41590.7,41645.91667,41701.13333,41756.35,41811.56667,41866.78333,41922,41922,41922,41922
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KWT,22.2,19.8,17.4,15,12.6,10.2,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
KGZ,6360.5,6514.766667,6669.033333,6823.3,6977.566667,7131.833333,7286.1,7303.716667,7321.333333,7338.95,7356.566667,7374.183333,7391.8,7391.8,7391.8,7391.8
LAO,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2,3956.2
LVA,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5,2649.5
LBN,781.5,781.25,781,780.75,780.5,780.25,780,779.6,779.2,778.8,778.4,778,777.6,777.6,777.6,777.6
LSO,2515.9,2515.05,2514.2,2513.35,2512.5,2511.65,2510.8,2511.716667,2512.633333,2513.55,2514.466667,2515.383333,2516.3,2516.3,2516.3,2516.3
LBR,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266
LBY,3075.4,3069.966667,3064.533333,3059.1,3053.666667,3048.233333,3042.8,2961.033333,2879.266667,2797.5,2715.733333,2633.966667,2552.2,2552.2,2552.2,2552.2
LIE,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
LTU,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085
LUX,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4
MDG,44934.1,44934.56667,44935.03333,44935.5,44935.96667,44936.43333,44936.9,44932.6,44928.3,44924,44919.7,44915.4,44911.1,44911.1,44911.1,44911.1
MWI,5106.6,5106.65,5106.7,5106.75,5106.8,5106.85,5106.9,5106.866667,5106.833333,5106.8,5106.766667,5106.733333,5106.7,5106.7,5106.7,5106.7
MYS,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7,9819.7
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,68540.2,68688.9,68837.6,68986.3,69135,69283.7,69432.4,69454.73333,69477.06667,69499.4,69521.73333,69544.06667,69566.4,69566.4,69566.4,69566.4
MLT,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTQ,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4
MRT,20074.5,19668.58333,19262.66667,18856.75,18450.83333,18044.91667,17639,17582.8,17526.6,17470.4,17414.2,17358,17301.8,17301.8,17301.8,17301.8
MUS,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2,131.2
MYT,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
MEX,102801.2,102837.7333,102874.2667,102910.8,102947.3333,102983.8667,103020.4,102837.5167,102654.6333,102471.75,102288.8667,102105.9833,101923.1,101923.1,101923.1,101923.1
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNG,42803.3,43791.51667,44779.73333,45767.95,46756.16667,47744.38333,48732.6,50046.71667,51360.83333,52674.95,53989.06667,55303.18333,56617.3,56617.3,56617.3,56617.3
MNE,364.4,364.95,365.5,366.05,366.6,367.15,367.7,368.0833333,368.4666667,368.85,369.2333333,369.6166667,370,370,370,370
MSR,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
MAR,13650.8,13201.51667,12752.23333,12302.95,11853.66667,11404.38333,10955.1,10104.38333,9253.666667,8402.95,7552.233333,6701.516667,5850.8,5850.8,5850.8,5850.8
MOZ,33470.7,33471.03333,33471.36667,33471.7,33472.03333,33472.36667,33472.7,33471.63333,33470.56667,33469.5,33468.43333,33467.36667,33466.3,33466.3,33466.3,33466.3
MMR,33446.2,33447.78333,33449.36667,33450.95,33452.53333,33454.11667,33455.7,33457.56667,33459.43333,33461.3,33463.16667,33465.03333,33466.9,33466.9,33466.9,33466.9
NAM,44345.4,44157.03333,43968.66667,43780.3,43591.93333,43403.56667,43215.2,42782.58333,42349.96667,41917.35,41484.73333,41052.11667,40619.5,40619.5,40619.5,40619.5
NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPL,5853.2,5872.433333,5891.666667,5910.9,5930.133333,5949.366667,5968.6,5982.533333,5996.466667,6010.4,6024.333333,6038.266667,6052.2,6052.2,6052.2,6052.2
NLD,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8,2649.8
NCL,859.3,859.4166667,859.5333333,859.65,859.7666667,859.8833333,860,860.1,860.2,860.3,860.4,860.5,860.6,860.6,860.6,860.6
NZL,11908.5,11909.2,11909.9,11910.6,11911.3,11912,11912.7,11915.01667,11917.33333,11919.65,11921.96667,11924.28333,11926.6,11926.6,11926.6,11926.6
NIC,7919.3,7919.433333,7919.566667,7919.7,7919.833333,7919.966667,7920.1,7918.5,7916.9,7915.3,7913.7,7912.1,7910.5,7910.5,7910.5,7910.5
NER,53200.9,53668.38333,54135.86667,54603.35,55070.83333,55538.31667,56005.8,56987.91667,57970.03333,58952.15,59934.26667,60916.38333,61898.5,61898.5,61898.5,61898.5
NGA,80726.2,80725.95,80725.7,80725.45,80725.2,80724.95,80724.7,80725.13333,80725.56667,80726,80726.43333,80726.86667,80727.3,80727.3,80727.3,80727.3
NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,1154,1153.25,1152.5,1151.75,1151,1150.25,1149.5,1149.9,1150.3,1150.7,1151.1,1151.5,1151.9,1151.9,1151.9,1151.9
MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,7896.5,8224.016667,8551.533333,8879.05,9206.566667,9534.083333,9861.6,9872.633333,9883.666667,9894.7,9905.733333,9916.766667,9927.8,9927.8,9927.8,9927.8
OMN,137.8,152.05,166.3,180.55,194.8,209.05,223.3,202.7666667,182.2333333,161.7,141.1666667,120.6333333,100.1,100.1,100.1,100.1
PAK,44822.6,44727.78333,44632.96667,44538.15,44443.33333,44348.51667,44253.7,43641.55,43029.4,42417.25,41805.1,41192.95,40580.8,40580.8,40580.8,40580.8
PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7,2582.7
PNG,10303.6,10307.28333,10310.96667,10314.65,10318.33333,10322.01667,10325.7,10329.78333,10333.86667,10337.95,10342.03333,10346.11667,10350.2,10350.2,10350.2,10350.2
PRY,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2,19031.2
PER,25523.2,25582.35,25641.5,25700.65,25759.8,25818.95,25878.1,25949.48333,26020.86667,26092.25,26163.63333,26235.01667,26306.4,26306.4,26306.4,26306.4
PHL,19315.9,19316.23333,19316.56667,19316.9,19317.23333,19317.56667,19317.9,19318.06667,19318.23333,19318.4,19318.56667,19318.73333,19318.9,19318.9,19318.9,19318.9
POL,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2,20557.2
PRT,5247.3,5247.65,5248,5248.35,5248.7,5249.05,5249.4,5252.25,5255.1,5257.95,5260.8,5263.65,5266.5,5266.5,5266.5,5266.5
PRI,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9,310.9
QAT,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
KOR,2756,2756.8,2757.6,2758.4,2759.2,2760,2760.8,2761.483333,2762.166667,2762.85,2763.533333,2764.216667,2764.9,2764.9,2764.9,2764.9
MDA,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3,2909.3
REU,101.3,101.9166667,102.5333333,103.15,103.7666667,104.3833333,105,105.6,106.2,106.8,107.4,108,108.6,108.6,108.6,108.6
ROU,15876.8,15876.66667,15876.53333,15876.4,15876.26667,15876.13333,15876,15874.96667,15873.93333,15872.9,15871.86667,15870.83333,15869.8,15869.8,15869.8,15869.8
RUS,233035.9,238721.85,244407.8,250093.75,255779.7,261465.65,267151.6,278053.8833,288956.1667,299858.45,310760.7333,321663.0167,332565.3,332565.3,332565.3,332565.3
RWA,1769.6,1769.6,1769.6,1769.6,1769.6,1769.6,1769.6,1769.65,1769.7,1769.75,1769.8,1769.85,1769.9,1769.9,1769.9,1769.9
BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
LCA,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8
MAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCT,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
WSM,247.5,247.5166667,247.5333333,247.55,247.5666667,247.5833333,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6
SMR,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
STP,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
SAU,24333.5,23495.86667,22658.23333,21820.6,20982.96667,20145.33333,19307.7,19671.93333,20036.16667,20400.4,20764.63333,21128.86667,21493.1,21493.1,21493.1,21493.1
SEN,10406.6,10405.65,10404.7,10403.75,10402.8,10401.85,10400.9,10400.9,10400.9,10400.9,10400.9,10400.9,10400.9,10400.9,10400.9,10400.9
