Labour Force Participation Ratio [15-64],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DJI,NaN,38.641,38.527,38.303,38.098,37.955,37.746,37.606,37.493,37.347,37.13,36.99,36.787,36.554,36.323,36.094,35.711,35.332,34.965,34.617,34.31,34.159,34.044,33.953,33.862,33.753,33.696,33.59,33.483,33.389,32.753,32.781,33.45
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,NaN,58.496,58.937,59.219,59.322,59.591,59.872,60.282,60.598,60.879,61.103,59.88,60.382,59.444,59.491,59.304,60.146,60.121,60.618,58.301,59.801,61.191,62.383,62.408,62.744,65.444,65.914,65.84,67.522,68.585,63.818,67.203,67.332
ECU,NaN,64.703,64.709,64.704,64.93,64.959,64.938,65.872,68.133,66.852,65.535,66.18,66.819,67.452,69.617,69.109,70.141,69.012,68.872,66.4,65.197,64.218,64.99,64.886,65.29,68.32,70.359,70.977,69.538,69.146,63.512,69.104,69.208
EGY,NaN,49.085,49.633,50.379,51.313,50.191,49.485,48.781,48.075,49.75,48.507,47.248,45.581,46.535,47.484,48.434,49.387,50.315,50.011,50.314,51.785,51.268,50.955,50.998,50.742,49.516,49.001,47.296,45.669,44.569,44.029,45.556,46.471
SLV,NaN,62.379,62.707,63.708,64.686,63.844,62.355,62.125,64.655,64.381,63.928,63.479,63.023,64.845,63.397,63.936,64.437,64.936,64.408,63.84,63.247,62.835,63.396,63.869,62.729,61.931,62.645,62.57,62.299,63.726,60.402,63.031,64.222
GNQ,NaN,59.241,59.252,59.257,59.222,59.139,59.008,58.838,58.66,58.501,58.37,58.259,58.145,58.049,57.978,57.927,57.842,57.763,57.705,57.663,57.621,57.563,57.454,57.354,57.275,57.21,57.197,57.165,57.133,57.099,54.385,54.98,56.966
ERI,NaN,82.099,82.344,82.596,82.841,83.066,82.996,82.827,82.573,82.25,81.951,81.301,80.657,80.046,79.479,78.953,79.01,79.084,79.201,79.351,79.51,79.828,80.077,80.294,80.508,80.641,80.494,80.379,80.282,80.113,79.135,79.189,80.124
EST,NaN,77.418,75.218,73.826,74.069,72.962,72.345,71.608,71.733,69.877,69.806,69.016,68.125,70.024,70.094,70.046,72.571,72.969,74.072,73.93,73.765,74.711,74.769,75.117,75.201,76.548,77.282,78.699,78.947,78.715,79.067,78.876,80.899
SWZ,NaN,56.029,55.842,55.679,55.53,55.321,55.132,54.876,54.581,54.29,54.02,53.828,53.704,53.615,53.532,53.45,53.371,53.299,53.233,53.189,53.169,53.154,53.125,53.088,53.067,53.082,52.986,52.948,52.936,52.903,52.445,52.609,52.991
ETH,NaN,78.66,78.636,78.68,78.677,79.115,79.546,79.979,80.409,80.83,81.244,81.655,82.055,82.45,82.84,83.225,83.165,83.105,83.045,82.988,82.935,82.884,82.834,82.783,82.685,82.588,82.514,82.437,82.352,82.28,81.505,82.069,82.03
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,NaN,61.014,60.852,60.826,60.706,60.666,60.552,60.419,60.296,60.175,60.057,59.942,59.829,59.719,59.616,58.18,59.283,60.377,61.452,62.506,63.55,64.586,63.546,62.475,61.366,60.66,59.936,59.878,59.877,59.99,58.09,58.016,60.449
FIN,NaN,75.667,74.202,73.399,72.67,71.907,71.486,72.721,72.911,73.86,74.053,74.591,74.768,74.64,74.396,74.568,75.063,75.42,75.825,74.826,74.383,74.806,75.119,75.025,75.263,75.67,75.788,76.625,77.779,78.163,78.133,78.685,79.631
FRA,NaN,66.911,67.319,67.503,67.666,67.84,68.43,68.275,68.448,68.991,69.054,68.909,69.24,70.18,70.066,69.7,69.645,69.719,69.919,70.379,70.378,70.265,70.954,71.651,71.666,72.021,72.206,72.193,72.568,72.372,71.704,73.705,74.311
GUF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PYF,NaN,62.081,62.15,62.225,62.297,62.376,62.469,62.274,62.083,61.91,61.745,61.592,61.455,61.229,61.012,60.797,60.568,60.305,60.481,60.683,60.889,61.1,61.308,61.484,61.656,61.812,61.976,62.168,62.394,62.652,62.346,62.772,63.605
GAB,NaN,53.279,53.225,53.196,53.146,53.081,53.001,52.91,52.788,52.586,52.415,52.25,52.067,51.895,51.717,51.554,51.308,51.119,50.915,50.75,50.639,50.511,50.393,50.3,50.229,50.182,50.271,50.352,50.426,50.493,47.494,48.028,50.444
GMB,NaN,57.946,58.1,58.219,58.377,58.536,58.696,58.854,59.009,59.163,59.313,59.46,59.602,59.736,59.861,59.984,60.108,60.233,60.36,60.49,60.62,60.748,60.877,61.066,61.246,61.427,61.615,61.806,62.001,61.944,61.337,61.629,61.828
GEO,NaN,68.52,68.993,69.514,70.077,69.819,69.189,68.655,68.475,69.227,66.677,69.032,68.088,69.379,68.101,67.571,66.011,67.583,68.289,69.964,71.253,72.031,73.17,72.837,73.488,74.746,74.053,71.945,69.713,68.414,68.68,69.33,68.596
DEU,NaN,71.767,70.997,70.627,70.622,70.221,70.19,70.339,70.458,70.878,70.74,71.114,71.244,71.772,71.693,74.108,75.335,75.881,76.151,76.521,76.539,77.217,77.104,77.427,77.565,77.382,78.506,78.869,79.074,80.071,78.821,78.924,79.88
GHA,NaN,78.264,77.965,77.659,77.347,77.032,76.714,76.394,76.07,75.747,75.423,75.126,74.828,74.53,74.229,73.923,73.615,73.302,72.986,72.663,72.337,72.007,71.675,71.344,71.015,70.685,70.654,70.635,70.609,70.589,69.941,69.882,70.578
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRC,NaN,58.062,58.995,59.337,60.184,60.881,61.804,61.916,63.577,63.732,63.819,63.188,63.752,64.395,65.581,65.855,66.252,66.077,66.154,66.75,67.21,66.628,66.895,66.943,66.828,67.003,67.116,67.078,66.903,67.039,66.008,66.467,68.654
GRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GLP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GUM,NaN,75.153,74.814,74.442,74.038,73.617,73.183,72.732,72.272,71.81,71.361,69.16,65.897,65.647,65.376,64.864,66.6,61.363,63.465,65.555,65.408,66.908,67.176,67.463,67.764,68.071,68.376,68.677,68.985,69.289,68.55,69.662,70.144
GTM,NaN,63.507,63.628,63.709,63.788,63.9,63.924,64.017,64.137,64.205,64.261,64.261,64.333,64.352,64.399,63.976,63.551,63.123,62.692,62.258,61.821,63.01,67.02,61.99,62.402,62.404,62.515,62.659,62.298,61.081,59.458,60.835,62.159
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,NaN,65.816,65.907,65.981,66.027,66.054,66.145,66.225,66.274,66.29,66.275,66.365,66.425,65.693,64.956,64.215,63.468,62.714,61.958,61.2,60.442,59.684,58.923,58.163,57.4,56.641,55.892,55.146,54.402,53.657,53.15,53.111,53.489
GNB,NaN,58.81,58.729,58.649,58.55,58.427,58.438,58.375,58.056,57.941,57.855,57.744,57.616,57.492,57.374,57.264,57.191,57.117,57.043,56.974,56.917,56.911,56.863,56.831,56.787,56.758,56.747,56.723,56.672,56.619,56.084,56.498,56.6
GUY,NaN,61.189,61.537,61.886,61.63,61.369,61.105,60.843,60.586,60.334,60.083,59.834,59.581,59.421,59.271,59.118,58.961,58.804,58.652,58.506,58.368,58.244,58.122,57.999,57.883,57.773,57.667,57.564,57.398,53.234,52.846,52.655,53.33
HTI,NaN,67.491,67.153,66.812,66.469,66.126,65.66,65.193,64.723,64.254,63.785,64.003,64.223,64.444,64.666,64.888,65.256,65.635,66.006,66.387,66.735,66.933,66.908,66.988,67.085,67.113,67.149,67.213,67.254,67.151,66.531,66.863,66.738
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HND,NaN,67.107,67.223,67.36,67.214,67.342,67.279,67.343,67.362,67.187,65.656,65.094,64.531,63.965,63.396,62.823,61.035,60.087,60.734,61.871,63.121,60.89,59.69,63.929,65.599,65.506,64.964,65.722,68.357,66.205,61.783,63.92,64.175
HUN,NaN,64.332,64.316,61.909,60.032,58.989,57.768,57.126,58.159,59.395,59.768,59.343,59.411,60.435,60.096,61.176,61.922,61.699,61.382,61.397,62.063,62.403,63.602,64.598,66.887,68.569,70.049,71.092,71.888,72.577,72.765,76.148,76.865
ISL,NaN,82.041,82.698,82.45,82.914,85.968,84.578,83.647,85.362,86.755,88.547,88.414,87.163,87.748,86.619,85.765,86.845,86.917,85.966,84.302,84.487,84.271,84.684,85.651,87.172,88.207,89.205,88.532,87.358,87.097,84.886,84.864,86.528
