Labour Force Participation Ratio [15-64],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SDN,NaN,50.956,51.195,51.36,51.532,51.738,51.936,51.642,51.334,51.047,50.808,50.59,50.4,50.238,50.096,49.988,49.928,49.903,49.887,49.879,49.87,49.848,49.844,49.81,49.764,49.714,49.67,49.626,49.597,49.583,49.241,49.609,49.81
SUR,NaN,51.144,51.1,50.74,50.853,50.853,50.597,50.357,50.127,49.902,50.645,51.392,52.143,52.909,53.608,54.237,54.88,55.525,56.166,56.807,57.455,58.102,58.736,59.357,59.982,60.637,61.33,61.482,61.823,61.961,58.415,59.571,59.674
SWE,NaN,83.381,81.58,79.714,78.747,79.389,79.069,78.637,77.75,78.276,77.371,78.115,77.935,77.909,77.669,78.22,78.741,79.137,79.345,78.921,79.08,79.91,80.273,81.062,81.45,81.699,82.024,82.499,82.729,82.93,82.505,82.795,83.403
CHE,NaN,76.449,76.741,77.164,76.203,76.575,80.069,80.232,81.103,80.929,80.521,81.189,81.21,81.271,80.905,80.807,81.226,81.588,82.284,82.401,81.263,81.92,82.163,82.289,82.77,83.177,83.729,83.81,84.04,84.153,83.923,83.611,83.231
SYR,NaN,52.232,51.927,51.978,51.246,50.491,50.76,51.027,51.282,51.897,52.512,51.55,50.588,49.627,48.884,48.14,47.372,45.612,45.113,44.617,44.388,45.144,40.852,39.516,39.854,40.118,40.272,40.37,40.413,40.411,38.632,38.931,40.325
TJK,NaN,46.799,46.819,46.843,46.859,46.866,46.857,46.842,46.828,46.81,46.785,46.756,46.731,46.709,46.94,46.419,45.872,45.249,44.62,44.374,44.221,44.08,43.954,43.841,43.736,43.636,43.536,43.177,42.792,42.435,42.058,41.841,42.578
THA,NaN,78.029,77.902,77.784,77.689,77.954,78.222,78.455,77.338,76.378,76.618,77.304,77.339,77.378,77.982,78.478,77.847,78.671,78.608,78.051,77.065,79.101,78.94,76.422,76.232,75.913,75.189,74.695,75.347,74.89,75.136,75.331,76.455
TLS,NaN,68.379,68.053,67.739,67.545,67.344,67.054,67.03,67.283,69.683,69.089,68.397,68.87,69.116,69.226,69.191,69.535,69.115,68.642,68.238,67.864,67.667,67.459,67.44,67.304,67.243,67.164,67.469,67.621,66.856,66.225,65.792,66.354
TGO,NaN,60.385,60.315,60.169,60.145,60.088,59.955,59.845,59.673,59.525,59.367,59.326,59.293,59.27,59.224,59.174,59.185,59.179,59.191,59.202,59.206,59.214,59.209,59.188,59.148,59.093,59.033,58.956,58.868,58.772,58.222,58.538,58.844
TKL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TON,NaN,57.91,58.965,60.011,61.038,60.849,60.655,60.453,60.245,60.034,59.822,59.612,59.41,59.214,59.02,58.819,58.606,58.39,58.17,57.94,57.719,57.518,57.317,57.106,56.881,56.646,56.412,56.184,55.963,55.991,55.456,55.146,56.051
TTO,NaN,61.936,62.354,62.286,63.305,64.159,64.486,64.841,65.195,64.798,65.121,64.669,65.027,65.732,67.255,68.072,68.422,68.077,68.226,67.521,65.649,65.028,66.483,66.459,67.286,66.196,65.756,65.281,64.726,64.237,62.507,62.061,62.56
TUN,NaN,50.628,50.538,50.705,50.832,50.906,50.983,51.063,50.752,50.436,50.112,49.782,49.446,49.109,48.778,48.461,48.56,48.994,49.543,50.021,50.406,50.958,51.781,51.643,51.542,51.459,51.722,51.665,51.733,51.891,49.715,50.037,52.348
TUR,NaN,60.068,58.918,55.058,57.54,56.83,56.372,55.204,55.307,55.137,52.398,52.303,52.262,51.032,49.147,49.388,48.551,48.672,49.396,50.373,51.571,52.837,52.998,54.061,54.469,55.333,56.229,57.176,57.714,57.71,54.048,56.321,58.314
TKM,NaN,53.871,55.094,55.225,56.794,57.572,57.242,58.337,57.884,56.784,56.462,56.225,56.28,56.127,55.854,55.08,54.453,53.835,53.062,52.736,52.302,51.713,51.345,51.069,50.841,50.76,50.715,50.685,50.679,50.69,49.455,49.246,51.16
TCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TUV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UGA,NaN,70.244,70.282,70.32,70.357,70.396,70.434,70.467,70.497,70.521,70.543,70.562,70.578,70.592,70.605,70.617,70.63,70.643,70.658,70.675,70.696,70.722,70.753,70.789,70.832,70.878,70.923,70.969,70.853,70.727,70.06,70.544,70.672
UKR,NaN,69.239,69.213,69.203,69.178,69.109,68.964,68.698,68.3,67.835,67.509,67.357,67.386,67.478,67.489,67.403,67.231,67.724,67.522,67.284,67.026,66.863,66.866,66.933,67.129,67.395,67.66,67.93,68.163,68.403,67.172,66.836,NaN
ARE,NaN,74.539,74.882,75.444,75.855,76.285,76.262,75.715,75.29,75.055,75.049,75.285,75.753,76.414,77.212,77.619,77.309,76.795,76.66,77.068,77.829,78.657,79.367,79.981,80.532,81.054,81.627,82.246,82.864,83.384,83.201,82.532,83.658
GBR,NaN,76.541,76.156,75.723,75.565,75.308,75.517,75.677,75.488,75.277,75.557,75.195,75.324,75.305,75.275,75.658,76.033,75.824,76.098,75.903,75.629,75.805,76.264,76.637,76.878,77.101,77.53,77.8,78.117,78.368,78.04,77.439,77.552
TZA,NaN,87.825,87.805,87.77,87.716,87.665,87.662,87.648,87.622,87.6,87.579,87.577,87.968,88.351,88.726,89.092,89.45,88.979,88.494,87.998,87.485,86.95,86.394,85.813,85.205,84.749,84.281,83.81,83.331,82.848,81.605,81.345,82.317
USA,NaN,74.712,75.08,75.052,75.252,75.438,75.643,75.98,75.909,75.842,75.78,75.354,74.928,74.324,73.988,73.972,74.067,73.797,73.777,73.108,72.427,71.883,71.841,71.571,71.459,71.366,71.721,72.128,72.401,72.865,71.72,72.073,72.675
VIR,NaN,74.209,75.607,80.881,76.003,71.234,66.784,66.111,65.494,63.996,65.2,67.965,67.076,65.696,67.984,69.315,69.916,70.878,70.892,71.146,69.389,70.507,69.631,66.2,65.87,69.105,69.153,70.502,66.045,63.083,64.214,65.084,66.793
URY,NaN,66.309,66.517,65.603,67.461,68.632,70.033,70.664,71.289,70.197,70.732,72.25,70.868,69.997,70.208,70.477,72.823,74.605,74.66,75.456,75.094,77.09,76.369,76.106,77.149,76.143,75.902,75.521,75.041,75.28,72.899,75.046,75.365
UZB,NaN,62.82,64.152,64.634,65.362,65.706,65.852,65.709,65.628,65.494,65.413,65.281,65.154,64.993,64.559,64.106,63.565,62.901,62.321,61.871,61.59,61.334,61.065,60.82,60.634,60.483,60.456,60.515,60.509,60.483,59.612,59.925,60.457
VUT,NaN,70.257,70.274,70.381,70.078,70.145,70.13,69.976,69.995,70.056,69.868,70.15,70.536,70.449,70.378,70.244,69.961,69.939,69.791,69.772,69.841,69.825,69.917,70.04,70.034,70.157,70.067,69.897,69.884,69.852,69.192,69.425,70.03
VEN,NaN,66.893,67.026,67.009,66.91,66.995,66.962,67.119,67.112,66.878,66.967,67.045,66.638,66.184,66.903,67.236,67.963,67.576,67.516,67.305,67.257,67.104,66.638,66.236,65.834,65.434,65.045,64.422,63.327,59.564,54.763,55.231,57.532
VNM,NaN,82.227,81.923,81.641,81.333,81.003,80.685,79.072,78.413,78.17,76.854,77.654,77.087,76.52,75.864,76.899,77.909,78.894,79.665,80.425,80.71,80.784,80.747,81.592,81.74,81.866,81.419,81.361,81.324,81.357,79.399,77.96,78.399
WLF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ESH,NaN,51.879,51.946,52.018,52.078,52.222,52.423,52.673,52.936,53.213,53.51,53.85,54.234,54.646,55.118,55.688,56.173,56.69,57.215,57.739,58.232,58.664,59.054,59.413,59.735,60.025,60.242,60.424,60.574,60.687,57.871,58.757,60.883
YEM,NaN,45.849,45.805,45.8,45.784,46.158,46.532,46.909,47.286,47.666,46.802,45.977,45.194,44.455,43.769,43.144,42.571,42.04,41.551,41.102,40.693,39.826,39.059,38.37,37.746,32.742,32.961,33.164,33.329,33.472,33.238,32.832,33.555
ZMB,NaN,59.223,59.18,59.159,59.063,59.02,59.019,59,58.958,58.934,58.906,58.977,59.039,59.104,59.162,59.212,59.283,59.334,59.367,59.395,59.419,59.372,59.328,59.267,59.184,59.071,58.953,58.806,58.644,59.855,61.168,60.516,59.964
ZWE,NaN,68.089,67.902,67.74,67.607,67.42,67.324,67.208,67.098,66.958,66.79,66.718,66.597,66.446,66.381,66.359,66.313,66.305,66.269,66.384,66.547,66.678,66.823,66.903,66.979,67.038,67.087,67.093,67.052,66.938,66.259,66.562,66.89
